ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
215589_at	1.79262303403618e-05	1.02037227366803e-09	11.0739220740071	12.1763778158386	1.3864163065		
213560_at	1.79262303403618e-05	1.60939357546903e-09	10.7718768985889	11.7716268884218	2.24303575257143	GADD45B	growth arrest and DNA damage inducible beta
206314_at	3.21991484971274e-05	4.33619632317558e-09	-10.1357097943785	10.8821825889971	-1.43943843067857	ZKSCAN7	zinc finger with KRAB and SCAN domains 7
220953_s_at	6.12265389684192e-05	1.43453371730633e-08	9.40352844315997	9.79323191936944	1.262850823	MTMR12	myotubularin related protein 12
222320_at	6.12265389684192e-05	1.87732816203465e-08	9.24398476320088	9.54626874407498	1.19354738214286		
217654_at	6.12265389684192e-05	1.91090681925209e-08	9.23353371373493	9.52996741654027	1.35305335707143	CFLAR	CASP8 and FADD like apoptosis regulator
201702_s_at	6.12265389684192e-05	2.48912193038065e-08	9.07861013103188	9.28652121372053	1.02275253467857	PPP1R10	protein phosphatase 1 regulatory subunit 10
202710_at	6.12265389684192e-05	2.52039449198393e-08	-9.07133514809804	9.27500610364994	-1.0170850825	BET1	Bet1 golgi vesicular membrane trafficking protein
201502_s_at	6.12265389684192e-05	2.68070864969712e-08	9.03545909436201	9.21811044837977	2.08905861857143	NFKBIA	NFKB inhibitor alpha
213138_at	6.12265389684192e-05	2.74841939975846e-08	9.02097267358415	9.1950847271829	1.389606284	ARID5A	AT-rich interaction domain 5A
205472_s_at	6.51731841471234e-05	3.42561764385243e-08	8.8937071543619	8.99151447239772	1.54833341614286	DACH1	dachshund family transcription factor 1
216546_s_at	6.51731841471234e-05	4.01708149009951e-08	8.80239273181668	8.8440206260127	0.768286154142857	CHI3L1	chitinase 3 like 1
220694_at	6.51731841471234e-05	4.02447687141148e-08	8.80134170691433	8.84231598975551	1.64213792057143	ASAP1-IT1	ASAP1 intronic transcript 1
201703_s_at	6.51731841471234e-05	4.09581441872661e-08	8.7913053017935	8.82603011644087	1.30154430075	PPP1R10	protein phosphatase 1 regulatory subunit 10
215062_at	7.22285404234518e-05	4.86343810365748e-08	8.69356151938431	8.66666140125939	1.49788046653571		
207574_s_at	7.87704155418575e-05	5.65752412205288e-08	8.60806665885095	8.52612679684761	2.81351699628571	GADD45B	growth arrest and DNA damage inducible beta
207038_at	8.46686955449242e-05	6.58327322553131e-08	8.52292066180788	8.38510506018373	1.24811679992857	SLC16A6	solute carrier family 16 member 6
209824_s_at	8.46686955449242e-05	6.84130053332422e-08	-8.50140211814663	8.34929714176372	-1.23641135692858	ARNTL	aryl hydrocarbon receptor nuclear translocator like
221496_s_at	9.99686628772343e-05	8.52630333827469e-08	8.37879993645639	8.14398104141024	1.96415259153571	TOB2	transducer of ERBB2, 2
202644_s_at	0.000107842316224136	9.68194247197883e-08	8.30850924480097	8.02526723099484	2.4772177265	TNFAIP3	TNF alpha induced protein 3
211518_s_at	0.000129024054311282	1.21627918505047e-07	-8.18323705290571	7.81187660447433	-1.55992171675	BMP4	bone morphogenetic protein 4
218526_s_at	0.000133793217289284	1.3315617940561e-07	-8.13381695798629	7.72705035186459	-0.750400534535717	RANGRF	RAN guanine nucleotide release factor
203752_s_at	0.000133793217289284	1.38135475946202e-07	8.11383120985996	7.69264252187941	1.95628073357143	JUND	JunD proto-oncogene, AP-1 transcription factor subunit
215176_x_at	0.000165897193676209	1.78728403655295e-07	-7.97437413150346	7.45088474448491	-3.02838844489286	IGK///IGKC	immunoglobulin kappa locus///immunoglobulin kappa constant
41387_r_at	0.000212280514378586	2.38228345803504e-07	7.82043957357797	7.18063334631658	1.60661269889286	KDM6B	lysine demethylase 6B
215499_at	0.000227614527757423	2.74167551989222e-07	7.74577885460404	7.04826907236588	1.42240852475	LOC100996792///MAP2K3	dual specificity mitogen-activated protein kinase kinase 3///mitogen-activated protein kinase kinase 3
217378_x_at	0.000227614527757423	2.78065735749121e-07	-7.73829888134852	7.03496154067012	-2.84288143253571	IGKV1OR2-108	immunoglobulin kappa variable 1/OR2-108 (non-functional)
222024_s_at	0.000227614527757423	2.86089095354304e-07	7.72323995234129	7.00814469634736	1.4914344155	AKAP13	A-kinase anchoring protein 13
214965_at	0.000229217547066497	2.98393359291126e-07	7.70097703344183	6.96843614338978	1.05496103410714	SPATA2L	spermatogenesis associated 2 like
